"","Type","Subpopulation","Indicator","nResp","Estimate","StdError","MarginofError","LCB95Pct","UCB95Pct"
"1","BASIN","1","MMDH_BIO_ASMT_PROFILE_SCORE",8,6.80014957849491,0.256678008817234,0.503079652905233,6.29706992558968,7.30322923140014
"2","BASIN","2","MMDH_BIO_ASMT_PROFILE_SCORE",6,6.84014335969048,0.220236222284459,0.431655063768698,6.40848829592178,7.27179842345918
"3","BASIN","3","MMDH_BIO_ASMT_PROFILE_SCORE",8,5.9274569777169,0.224641311829743,0.440288880626129,5.48716809709078,6.36774585834303
"4","BASIN","4","MMDH_BIO_ASMT_PROFILE_SCORE",12,6.54234466071546,0.445402206762999,0.87297228389014,5.66937237682532,7.4153169446056
"5","BASIN","5","MMDH_BIO_ASMT_PROFILE_SCORE",8,7.16807263075772,0.256737869056059,0.503196976817436,6.66487565394028,7.67126960757515
"6","BASIN","6","MMDH_BIO_ASMT_PROFILE_SCORE",18,7.25697309988437,0.254992718106476,0.499776543808668,6.75719655607571,7.75674964369304
"7","BASIN","7","MMDH_BIO_ASMT_PROFILE_SCORE",8,3.92903756706768,0.917514736409807,1.79829583864798,2.1307417284197,5.72733340571566
"8","BASIN","8","MMDH_BIO_ASMT_PROFILE_SCORE",12,7.02217854815473,0.544630936600545,1.06745702060339,5.95472152755135,8.08963556875812
"9","BASIN","9","MMDH_BIO_ASMT_PROFILE_SCORE",13,7.12202217617579,0.352967827153994,0.691804228923187,6.4302179472526,7.81382640509898
"10","BASIN","10","MMDH_BIO_ASMT_PROFILE_SCORE",12,7.99599726391583,0.223647945912381,0.438341919204629,7.5576553447112,8.43433918312046
"11","BASIN","11","MMDH_BIO_ASMT_PROFILE_SCORE",5,7.81922202982759,0.287750949565469,0.563981497665521,7.25524053216207,8.38320352749311
"12","BASIN","12","MMDH_BIO_ASMT_PROFILE_SCORE",13,4.70526013286785,0.578121139284556,1.13309661169899,3.57216352116885,5.83835674456684
"13","BASIN","13","MMDH_BIO_ASMT_PROFILE_SCORE",13,6.02907535628387,0.510420788612363,1.00040636264076,5.02866899364311,7.02948171892464
"14","BASIN","14","MMDH_BIO_ASMT_PROFILE_SCORE",12,7.78398070634725,0.157983877286629,0.309642709619787,7.47433799672746,8.09362341596703
"15","BASIN","15","MMDH_BIO_ASMT_PROFILE_SCORE",1,2.85,0,0,2.85,2.85
"16","BASIN","17","MMDH_BIO_ASMT_PROFILE_SCORE",6,3.97738652590272,0.55541045895703,1.08858449619264,2.88880202971008,5.06597102209536
